Census Tract,Total housing units,1-unit-detached,Mobile home,Multi-Unit,Occupied housing units,Owner-occupied,Renter-occupied,Average household size of owner-occupied unit,Average household size of renter-occupied unit
9601,1876.00,1571.00,150.00,142.00,1498.00,1226.00,272.00,3.04,2.00
9602,1790.00,1581.00,111.00,82.00,1449.00,1186.00,263.00,2.77,2.24
9603,1958.00,1581.00,210.00,131.00,1828.00,1542.00,286.00,2.42,2.05
9604,2357.00,1690.00,84.00,570.00,2181.00,1380.00,801.00,2.28,1.91
9605,1613.00,1387.00,190.00,35.00,1319.00,1135.00,184.00,2.77,2.86
9606,2112.00,1763.00,206.00,106.00,1945.00,1610.00,335.00,2.78,2.41
9607,2168.00,1700.00,320.00,129.00,1771.00,1483.00,288.00,2.41,2.41
